Product Name,Colors,Pic urls,Prod care
"Set of beach-ball equipment, swim shorts and bag",Black,"https://images.hugoboss.com/is/image/boss/hbeu50515735_007_100?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515735_007_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515735_007_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515735_007_360?wid=768&qlt=80","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
"Beach set with swim shorts, bag and towel",Black,"https://images.hugoboss.com/is/image/boss/hbeu50515502_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515502_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515502_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50515502_001_100?wid=768&qlt=80","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Do not chemical dry clean"
Quick-drying swim shorts with outline logo,"Black ,Blue ,Dark Blue ,White","https://images.hugoboss.com/is/image/boss/hbeu50469280_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469280_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469280_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50469280_001_100?wid=768&qlt=80","30°C fine wash , Do Not Bleach , Do Not Tumble Dry , Do Not Iron , Do not chemical dry clean"
Cotton-jersey regular-fit T-shirt with logo print,"Orange ,Light Blue ,Blue ,Light Blue ,Turquoise ,Khaki ,Light Brown ,Light Beige ,White","https://images.hugoboss.com/is/image/boss/hbeu50503276_813_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50503276_813_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50503276_813_100?wid=768&qlt=80","40°C mild wash , Do Not Bleach , Tumble Dry Low Heat , Iron Low Heat , Do not chemical dry clean"
Slim-fit evening suit in stretch twill,Black,"https://images.hugoboss.com/is/image/boss/hbeu50507120_001_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_600?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_342?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_343?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_170?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50507120_001_240?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Regular-fit suit in micro-patterned virgin wool,Brown,"https://images.hugoboss.com/is/image/boss/hbeu50513795_213_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_600?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_342?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_343?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_170?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50513795_213_240?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Woven-leather belt with logo buckle in polished hardware,"Black ,Dark Brown","https://images.hugoboss.com/is/image/boss/hbeu50516685_001_200?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50516685_001_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50516685_001_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50516685_001_240?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50516685_001_241?wid=768&qlt=80",
Cotton-terry tracksuit bottoms with logo print,"Blue ,Dark Blue ,Dark Green ,White ,Black","https://images.hugoboss.com/is/image/boss/hbeu50489617_462_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489617_462_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489617_462_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489617_462_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489617_462_100?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50489617_462_240?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Relaxed-fit tracksuit bottoms in cotton-blend jacquard,Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50511431_052_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511431_052_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511431_052_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511431_052_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511431_052_100?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50511431_052_240?wid=768&qlt=80","30°C mild fine wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Do not chemical dry clean"
Slim-fit jacket in wrinkle-resistant performance-stretch fabric,Dark Blue,https://images.hugoboss.com/is/image/boss/hbeu50521592_404_100?wid=768&qlt=80,"Cold, gentle machine wash; reduced spin speed. , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
"Slim-fit jacket in virgin wool, silk and cashmere",Light Blue,https://images.hugoboss.com/is/image/boss/hbeu50520411_460_100?wid=768&qlt=80,"Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Medium Heat , Gentle chemical dry cleaning P"
Slim-fit waistcoat in a performance-stretch wool blend,Dark Blue,https://images.hugoboss.com/is/image/boss/hbeu50473320_405_100?wid=768&qlt=80,"Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
Slim-fit jacket in interlock stretch jersey,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50494632_404_350?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50494632_404_300?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50494632_404_360?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50494632_404_340?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50494632_404_341?wid=768&qlt=80,https://images.hugoboss.com/is/image/boss/hbeu50494632_404_100?wid=768&qlt=80","Do Not Wash , Do Not Bleach , Do Not Tumble Dry , Iron Low Heat , Gentle chemical dry cleaning P"
